Date,Open,High,Low,Close,Adj Close,Volume
2022-10-17,19.760000,19.760000,18.209999,18.850000,18.850000,929800
2022-10-18,19.100000,20.129999,18.850000,19.790001,19.790001,1500800
2022-10-19,19.510000,19.629999,18.070000,18.320000,18.320000,960600
2022-10-20,18.230000,18.969999,17.629999,17.680000,17.680000,444700
2022-10-21,17.850000,18.830000,17.469999,18.590000,18.590000,602500
2022-10-24,18.549999,18.709999,17.900000,18.559999,18.559999,398200
2022-10-25,18.719999,19.799999,18.674999,19.080000,19.080000,660400
2022-10-26,19.170000,20.389999,19.090000,19.799999,19.799999,542100
2022-10-27,20.000000,20.590000,19.500000,19.930000,19.930000,618800
2022-10-28,19.980000,20.985001,19.549999,20.860001,20.860001,760100
2022-10-31,20.580000,20.969999,20.139999,20.260000,20.260000,624100
2022-11-01,20.559999,20.990000,20.405001,20.790001,20.790001,481100
2022-11-02,20.969999,21.709999,20.030001,20.459999,20.459999,594300
2022-11-03,20.059999,20.830000,19.959999,20.600000,20.600000,386600
2022-11-04,20.889999,21.059999,19.900000,20.500000,20.500000,661500
2022-11-07,20.660000,20.809999,19.690001,19.770000,19.770000,561800
2022-11-08,18.340000,20.190001,18.139999,19.650000,19.650000,702100
2022-11-09,19.650000,19.955000,18.900000,18.969999,18.969999,556000
2022-11-10,20.059999,21.709999,19.830000,21.500000,21.500000,1199400
2022-11-11,21.459999,22.389999,21.299999,22.170000,22.170000,558200
2022-11-14,22.200001,22.610001,21.150000,21.219999,21.219999,833200
2022-11-15,21.840000,22.650000,20.775000,21.610001,21.610001,818800
2022-11-16,21.459999,21.885000,20.330000,20.450001,20.450001,538700
2022-11-17,20.280001,20.969999,19.700001,20.490000,20.490000,1131800
2022-11-18,21.139999,21.775000,20.200001,20.410000,20.410000,1018900
2022-11-21,20.200001,21.115000,20.000000,20.379999,20.379999,836200
2022-11-22,20.379999,20.969999,19.709999,20.879999,20.879999,883500
2022-11-23,20.950001,22.170000,20.770000,21.860001,21.860001,1062000
2022-11-25,21.480000,22.110001,21.420000,21.870001,21.870001,605100
2022-11-28,21.700001,22.059999,21.420000,21.520000,21.520000,1044600
2022-11-29,21.450001,22.670000,21.358999,22.639999,22.639999,1941500
2022-11-30,22.900000,23.610001,22.500000,23.590000,23.590000,1042400
2022-12-01,23.350000,23.980000,23.150000,23.660000,23.660000,480600
2022-12-02,23.360001,25.719999,23.195000,25.530001,25.530001,1334700
2022-12-05,25.520000,25.600000,24.129999,24.320000,24.320000,716900
2022-12-06,23.990000,24.730000,23.750000,24.500000,24.500000,788100
2022-12-07,24.080000,24.155001,22.809999,24.150000,24.150000,1630600
2022-12-08,24.490000,24.790001,20.700001,24.750000,24.750000,2696500
2022-12-09,24.750000,24.750000,23.705000,23.780001,23.780001,1054400
2022-12-12,23.639999,24.389999,23.285000,23.799999,23.799999,1427600
2022-12-13,24.540001,24.540001,22.959999,23.299999,23.299999,982900
2022-12-14,24.000000,24.420000,23.010000,24.270000,24.270000,1775600
2022-12-15,23.910000,24.110001,23.059999,24.010000,24.010000,1173400
2022-12-16,23.709999,24.309999,23.490000,24.299999,24.299999,2570700
2022-12-19,24.430000,24.660000,21.790001,22.010000,22.010000,752600
2022-12-20,21.830000,22.270000,21.608000,22.170000,22.170000,917900
2022-12-21,22.350000,24.020000,22.110001,24.000000,24.000000,1082400
2022-12-22,23.740000,24.225000,23.250000,23.980000,23.980000,915700
2022-12-23,23.959999,24.070000,21.870001,22.040001,22.040001,634300
2022-12-27,21.969999,22.049999,21.309999,22.000000,22.000000,648500
2022-12-28,21.780001,22.559999,21.780001,22.320000,22.320000,484600
2022-12-29,22.620001,24.260000,22.070000,24.000000,24.000000,850300
2022-12-30,23.780001,24.055000,23.343000,23.820000,23.820000,391600
2023-01-03,23.730000,24.610001,22.639999,22.950001,22.950001,588200
2023-01-04,23.209999,23.520000,22.730000,23.320000,23.320000,499600
2023-01-05,23.139999,23.465000,22.040001,22.379999,22.379999,637800
2023-01-06,22.480000,23.160000,21.980000,22.400000,22.400000,470000
2023-01-09,22.340000,22.730000,21.750000,22.139999,22.139999,1080400
2023-01-10,22.059999,23.250000,22.059999,23.219999,23.219999,1019000
2023-01-11,23.200001,27.040001,23.090000,26.900000,26.900000,1760500
2023-01-12,26.930000,29.900000,26.719999,29.889999,29.889999,1344700
2023-01-13,29.780001,31.370001,29.420000,30.090000,30.090000,1675700
2023-01-17,29.950001,29.950001,27.049999,27.379999,27.379999,1783000
2023-01-18,27.389999,28.785000,27.080000,27.480000,27.480000,814300
2023-01-19,27.450001,28.555000,26.910000,27.610001,27.610001,776900
2023-01-20,28.030001,28.030001,27.040001,27.520000,27.520000,1677900
2023-01-23,27.680000,28.120001,27.150000,27.480000,27.480000,763900
2023-01-24,27.299999,28.400000,27.250000,27.969999,27.969999,982700
2023-01-25,27.740000,28.200001,26.990000,28.059999,28.059999,716100
